Epoch,Train Loss,Val Loss,L2 Loss,L2 Std,L2 Max Outlier
123,0.0001165,0.0003984,4.458,9.268,84.85
124,0.0001167,0.0003986,4.66,8.962,79.2
125,0.0001183,0.0003993,4.533,9.37,80.61
126,0.0001135,0.0003997,4.285,8.622,74.95
127,0.0001123,0.0003982,4.119,7.991,73.54
128,0.000116,0.000399,4.165,7.718,74.95
129,0.0001129,0.0004012,4.338,8.514,80.61
130,0.0001165,0.0003992,4.267,7.858,72.12
131,0.0001145,0.0004053,4.748,10.03,84.85
132,0.0001145,0.0004018,4.419,9.159,82.02
133,0.000117,0.0003975,4.274,8.677,83.44
134,0.0001179,0.0003994,4.462,8.465,80.61
135,0.0001185,0.0003955,4.352,8.939,82.02
136,0.0001152,0.0003948,4.207,7.465,83.44
137,0.000116,0.0003989,4.373,9.119,84.85
138,0.0001152,0.0004031,4.43,8.33,83.44
139,0.0001131,0.0004076,4.904,9.6,74.95
140,0.0001163,0.0003936,4.19,7.783,83.44
141,0.0001185,0.0004016,4.72,8.737,83.44
142,0.0001179,0.0003986,3.847,7,83.44
143,0.0001169,0.0003978,4.723,9.24,80.61
144,0.0001167,0.0004007,4.384,7.961,82.02
145,0.0001144,0.0004002,4.67,9.869,84.85
146,0.0001158,0.0003967,3.953,6.903,72.12
147,0.0001139,0.0004003,4.649,9.553,84.85
148,0.0001154,0.0003987,4.009,6.767,67.88
149,0.0001127,0.0003992,4.02,6.626,82.02
150,0.0001151,0.0004012,4.168,8.287,82.02
151,0.000117,0.0003958,4.108,8.143,83.44
152,0.0001178,0.0003938,4.444,8.936,84.85
153,0.0001135,0.0003955,4.31,7.793,69.3
154,0.0001168,0.0003995,4.161,8.02,83.44
155,0.0001166,0.0003985,4.437,9.064,82.02
156,0.0001161,0.0003994,4.582,8.937,82.02
157,0.000113,0.0003954,4.416,8.803,82.02
158,0.0001141,0.0003947,4.617,9.741,84.85
159,0.0001172,0.0003969,4.133,8.607,82.02
160,0.0001132,0.0003987,4.391,8.875,84.85
161,0.0001157,0.0003966,4.738,9.607,82.02
162,0.0001128,0.0003965,4.179,7.166,66.47
163,0.0001138,0.0003992,4.681,9.224,84.85
164,0.0001136,0.0004008,4.582,8.282,80.61
165,0.0001126,0.0003957,3.833,7.841,83.44
166,0.0001133,0.0003991,4.533,8.72,72.12
167,0.0001124,0.0003903,4.289,8.349,83.44
168,0.0001177,0.0003983,4.731,9.706,84.85
169,0.0001133,0.0004011,4.388,9.088,83.44
