Epoch,Train Loss,Val Loss,L2 Loss,L2 Std,L2 Max Outlier
1,0.0008699,0.000885,97.43,60.59,212.1
2,0.0002891,0.0008461,111.8,58.23,207.9
3,0.0002848,0.0008291,110.4,55.86,213.5
4,0.0002734,0.0007979,76.66,60.09,196.6
5,0.0002649,0.0007806,67.06,59.76,212.1
